,Correctness,MessageLength,Perplexity,FailedMove
0,6.0,24,,False
1,3.0,40,,False
2,3.5,34,,False
3,5.75,40,,False
4,3.875,38,,False
5,3.9375,40,,False
6,5.96875,33,,False
7,5.984375,33,,False
8,5.9921875,51,,False
9,6.0,36,,False
10,6.0,36,,False
11,4.0,32,,False
12,4.0,34,,False
13,4.0,37,,False
14,3.0,41,,False
15,6.0,31,,False
16,3.0,43,,False
17,2.5,26,,False
18,5.75,43,,False
19,4.875,34,,False
20,3.9375,26,,False
21,4.96875,45,,False
22,3.984375,23,,False
23,3.9921875,37,,False
24,3.99609375,25,,False
25,3.998046875,25,,False
26,3.9990234375,26,,False
27,3.99951171875,26,,False
28,3.999755859375,26,,False
29,5.9998779296875,35,,False
30,5.99993896484375,37,,False
31,3.999969482421875,39,,False
32,0.0,39,,True
33,3.9999847412109375,30,,False
34,3.0,39,,False
35,3.5,42,,False
36,5.75,35,,False
37,3.875,31,,False
38,3.9375,31,,False
39,0.0,38,,True
40,3.96875,45,,False
41,3.984375,45,,False
42,0.0,45,,True
43,0.0,45,,True
44,0.0,45,,True
45,3.9921875,40,,False
46,3.99609375,40,,False
47,0.0,40,,True
48,3.998046875,40,,False
49,0.0,40,,True
50,3.0,40,,False
51,5.5,32,,False
52,3.75,47,,False
53,3.875,63,,False
54,3.9375,47,,False
55,3.96875,41,,False
56,3.984375,41,,False
57,0.0,39,,True
58,5.9921875,49,,False
59,5.99609375,43,,False
60,5.998046875,36,,False
61,4.9990234375,34,,False
62,5.99951171875,34,,False
63,3.999755859375,34,,False
64,5.9998779296875,42,,False
65,3.99993896484375,44,,False
66,5.999969482421875,44,,False
67,3.9999847412109375,44,,False
68,5.999992370605469,44,,False
69,3.0,39,,False
70,3.5,33,,False
71,5.75,35,,False
72,6.0,36,,False
73,3.0,35,,False
74,5.5,39,,False
75,4.75,38,,False
76,2.875,42,,False
77,5.9375,35,,False
78,5.96875,37,,False
79,5.984375,40,,False
80,3.9921875,45,,False
81,3.99609375,39,,False
82,3.998046875,32,,False
83,3.9990234375,42,,False
84,3.0,25,,False
85,3.5,29,,False
86,3.75,30,,False
87,5.875,40,,False
88,3.9375,40,,False
89,0.0,48,,True
90,3.96875,48,,False
91,0.0,48,,True
92,0.0,33,,True
93,3.984375,46,,False
94,0.0,48,,True
95,5.9921875,48,,False
96,6.0,41,,False
97,0.0,37,,True
98,3.0,38,,False
99,3.5,38,,False
100,3.75,41,,False
101,3.875,35,,False
102,3.9375,37,,False
103,3.96875,37,,False
104,3.984375,44,,False
105,2.9921875,44,,False
106,0.0,40,,True
107,3.99609375,43,,False
108,3.998046875,39,,False
109,3.9990234375,34,,False
110,3.99951171875,38,,False
111,0.0,32,,True
112,0.0,28,,True
113,3.999755859375,32,,False
114,3.0,25,,False
115,5.5,42,,False
116,3.75,57,,False
117,3.875,40,,False
118,3.9375,44,,False
119,3.96875,31,,False
120,5.984375,38,,False
121,5.9921875,48,,False
122,2.99609375,35,,False
123,5.998046875,48,,False
124,5.9990234375,50,,False
125,5.999755859375,48,,False
126,5.9998779296875,37,,False
127,3.99993896484375,38,,False
128,3.0,43,,False
129,5.5,30,,False
130,3.75,30,,False
131,3.875,60,,False
132,5.9375,52,,False
133,3.96875,31,,False
134,3.984375,31,,False
135,4.9921875,57,,False
136,3.99609375,38,,False
137,3.998046875,38,,False
138,3.9990234375,30,,False
139,3.99951171875,30,,False
140,6.0,37,,False
141,5.0,34,,False
142,6.0,33,,False
143,5.0,33,,False
144,0.0,34,,True
145,6.0,32,,False
146,3.0,32,,False
147,3.5,38,,False
148,3.75,46,,False
149,3.875,50,,False
150,3.9375,34,,False
151,3.96875,38,,False
152,3.984375,43,,False
153,3.9921875,37,,False
154,3.0,36,,False
155,3.5,33,,False
156,5.75,37,,False
157,3.875,41,,False
158,3.9375,39,,False
159,3.96875,46,,False
160,3.984375,41,,False
161,3.9921875,39,,False
162,3.99609375,40,,False
163,3.998046875,40,,False
164,3.9990234375,40,,False
165,3.99951171875,43,,False
166,3.999755859375,43,,False
167,3.9998779296875,40,,False
168,3.99993896484375,40,,False
169,3.999969482421875,31,,False
170,3.0,35,,False
171,2.5,39,,False
172,4.75,36,,False
173,3.875,51,,False
174,5.9375,36,,False
175,4.96875,38,,False
176,3.984375,41,,False
177,3.9921875,30,,False
178,4.99609375,59,,False
179,0.0,30,,True
180,3.998046875,47,,False
181,5.9990234375,59,,False
182,5.99951171875,33,,False
183,6.0,29,,False
184,3.0,30,,False
185,3.5,40,,False
186,3.75,41,,False
187,3.875,48,,False
188,3.0,27,,False
189,3.5,28,,False
190,3.75,41,,False
191,3.875,50,,False
192,3.9375,37,,False
193,3.96875,50,,False
194,5.984375,36,,False
195,3.9921875,47,,False
196,3.99609375,33,,False
197,3.998046875,33,,False
198,5.9990234375,33,,False
199,5.99951171875,38,,False
200,3.999755859375,33,,False
201,5.9998779296875,33,,False
202,0.0,33,,True
203,3.99993896484375,33,,False
204,5.999969482421875,33,,False
205,4.9999847412109375,38,,False
206,3.9999923706054688,34,,False
207,6.0,32,,False
208,3.0,44,,False
209,3.5,40,,False
210,5.75,40,,False
211,5.875,48,,False
212,3.9375,47,,False
213,3.96875,31,,False
214,5.984375,35,,False
215,5.9921875,22,,False
216,3.99609375,41,,False
217,5.998046875,34,,False
218,5.9990234375,41,,False
219,5.99951171875,47,,False
220,5.999755859375,54,,False
221,5.9998779296875,45,,False
222,3.99993896484375,45,,False
223,6.0,39,,False
224,0.0,45,,True
225,4.0,43,,False
226,6.0,36,,False
227,4.0,30,,False
228,6.0,40,,False
229,3.0,42,,False
230,5.5,34,,False
231,3.75,28,,False
232,3.875,34,,False
233,3.9375,29,,False
234,3.96875,34,,False
235,5.984375,38,,False
236,3.9921875,31,,False
237,3.99609375,35,,False
238,2.998046875,27,,False
239,5.9990234375,47,,False
240,3.99951171875,32,,False
241,5.999755859375,50,,False
242,4.9998779296875,60,,False
243,3.99993896484375,61,,False
244,5.999969482421875,61,,False
245,3.0,43,,False
246,3.5,39,,False
247,3.75,34,,False
248,5.875,26,,False
249,4.9375,37,,False
250,3.96875,36,,False
251,3.984375,48,,False
252,3.9921875,47,,False
253,3.99609375,47,,False
254,5.998046875,37,,False
255,5.9990234375,37,,False
256,0.0,37,,True
257,5.99951171875,38,,False
258,3.999755859375,53,,False
259,3.9998779296875,53,,False
260,3.99993896484375,45,,False
261,0.0,47,,True
262,0.0,36,,True
263,6.0,42,,False
264,3.0,30,,False
265,5.5,34,,False
266,2.75,34,,False
267,5.0,31,,False
268,3.0,36,,False
269,6.0,48,,False
270,6.0,36,,False
271,6.0,38,,False
272,3.0,43,,False
273,3.5,43,,False
274,3.75,43,,False
275,0.0,41,,True
276,0.0,43,,True
277,0.0,41,,True
278,0.0,44,,True
279,3.875,39,,False
280,0.0,43,,True
281,6.0,34,,False
282,3.0,34,,False
283,3.5,42,,False
284,5.75,30,,False
285,3.875,28,,False
286,3.9375,37,,False
287,5.96875,30,,False
288,5.984375,35,,False
289,2.9921875,35,,False
290,5.99609375,30,,False
291,3.998046875,30,,False
292,3.9990234375,42,,False
293,3.99951171875,42,,False
294,3.999755859375,42,,False
295,5.9998779296875,51,,False
296,5.99993896484375,51,,False
297,3.999969482421875,47,,False
298,3.9999847412109375,38,,False
299,3.9999923706054688,38,,False
300,6.0,30,,False
301,3.0,33,,False
302,5.5,43,,False
303,3.75,28,,False
304,3.875,34,,False
305,3.9375,34,,False
306,3.96875,35,,False
307,5.984375,47,,False
308,3.9921875,47,,False
309,0.0,48,,True
310,3.99609375,47,,False
311,3.998046875,34,,False
312,3.9990234375,34,,False
313,0.0,34,,True
314,0.0,32,,True
315,0.0,34,,True
316,0.0,42,,True
317,3.0,23,,False
318,3.5,45,,False
319,3.75,45,,False
320,0.0,45,,True
321,5.875,41,,False
322,3.9375,44,,False
323,5.96875,37,,False
324,0.0,56,,True
325,3.984375,37,,False
326,3.9921875,37,,False
327,5.99609375,37,,False
328,3.998046875,37,,False
329,3.9990234375,37,,False
330,3.99951171875,37,,False
331,3.999755859375,37,,False
332,3.9998779296875,37,,False
333,3.99993896484375,51,,False
334,0.0,51,,True
335,3.999969482421875,52,,False
